asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,power_setup,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
KITE,2025-12-08 08:00:00+00:00,0.0827,-1.0,0.07021674824494997,0.08626459654725707,3083.305417515892,3.0,0.934428334236145,3.502,False,2025-12-13 12:00:00+00:00,2025-12-11 16:00:00+00:00,0.0821,time,19.28650414124472,7
ICP,2025-12-17 18:00:00+00:00,2.884,-1.0,2.6898461711850135,2.939440688164497,1875.0,2.0,0.9164570569992065,3.502,False,2025-12-22 22:00:00+00:00,2025-12-18 13:00:00+00:00,2.939440688164497,sl,-38.48163672275744,8
ATOM,2025-12-18 19:00:00+00:00,1.836,-1.0,1.7537878111833631,1.859475716916442,4651.423465572415,3.0,0.9966424703598022,3.502,True,2025-12-23 23:00:00+00:00,2025-12-18 21:00:00+00:00,1.859475716916442,sl,-65.5215239999463,8
FIL,2025-12-18 19:00:00+00:00,1.167,-1.0,1.1069068048411728,1.1841596311746374,4651.423465572415,3.0,0.9946229457855225,3.502,True,2025-12-23 23:00:00+00:00,2025-12-18 21:00:00+00:00,1.1841596311746374,sl,-74.4416329442126,8
DOT,2025-12-18 19:00:00+00:00,1.727,-1.0,1.6351963891547554,1.7532145505566936,4651.423465572415,3.0,0.9910873770713806,3.502,True,2025-12-23 23:00:00+00:00,2025-12-18 21:00:00+00:00,1.7532145505566936,sl,-76.65193191742635,8
APT,2025-12-19 16:00:00+00:00,1.633,-1.0,1.5658600457997465,1.652171835481761,4448.346819764678,3.0,0.9855755567550659,3.502,True,2025-12-24 20:00:00+00:00,2025-12-19 20:00:00+00:00,1.652171835481761,sl,-58.0075743159959,8
APT,2025-12-20 08:00:00+00:00,1.685,-1.0,1.6219706552405784,1.702998049635939,4393.964718843432,3.0,0.9986650943756104,3.502,True,2025-12-25 12:00:00+00:00,2025-12-20 12:00:00+00:00,1.6219706552405784,tp,159.96729173499514,8
ICP,2025-12-20 20:00:00+00:00,3.121,-1.0,2.9696304179810635,3.1642236327530737,3407.9505411337423,3.0,0.9911394715309143,3.502,True,2025-12-26 00:00:00+00:00,2025-12-20 21:00:00+00:00,3.1642236327530737,sl,-51.62802959344623,8
ICP,2025-12-20 21:00:00+00:00,3.255,-1.0,3.061116957557141,3.310363365028982,3371.6495828258503,3.0,0.9687085151672363,3.502,True,2025-12-26 01:00:00+00:00,2025-12-20 22:00:00+00:00,3.310363365028982,sl,-61.73056891352686,8
FIL,2025-12-20 23:00:00+00:00,1.374,-1.0,1.334655595352038,1.3852348073814402,4437.660368744702,3.0,0.9895461201667786,3.502,True,2025-12-26 03:00:00+00:00,2025-12-21 01:00:00+00:00,1.334655595352038,tp,122.63446862551741,8
HBAR,2025-12-21 13:00:00+00:00,0.10952,-1.0,0.1069538052490807,0.11025277773517751,4552.630183081125,3.0,0.9786746501922607,3.502,True,2025-12-26 17:00:00+00:00,2025-12-21 14:00:00+00:00,0.11025277773517751,sl,-36.37921210377374,8
